Classe,Ordem,Família,Espécie/Grupo,Status CITES
,CLASS MAMMALIA (MAMMALS),ANTILOCAPRIDAE,Antilocapra americana (Only the population of Mexico; no other population is included in the,I
,CLASS MAMMALIA (MAMMALS),ANTILOCAPRIDAE,Appendices),I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Axis calamianensis,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Axis kuhlii,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Axis porcinus annamiticus,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Blastocerus dichotomus,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Cervus elaphus hanglu,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Dama dama mesopotamica,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Hippocamelus spp.,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Muntiacus crinifrons,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Muntiacus vuquangensis,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Ozotoceros bezoarticus,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Pudu puda,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Rucervus duvaucelii,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Rucervus eldii,I
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Cervus elaphus bactrianus,II
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Pudu mephistophiles,II
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Axis porcinus (Except the subspecies included in Appendix I) (Pakistan),III
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,"Cervus elaphus barbarus (Algeria,",III
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Tunisia),III
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Mazama temama cerasina,III
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,(Guatemala),III
,CLASS MAMMALIA (MAMMALS),CAMELIDAE,Odocoileus virginianus mayensis,III
,CLASS MAMMALIA (MAMMALS),GIRAFFIDAE,Giraffa camelopardalis,II
,CLASS MAMMALIA (MAMMALS),HIPPOPOTAMIDAE,Hexaprotodon liberiensis,II
,CLASS MAMMALIA (MAMMALS),HIPPOPOTAMIDAE,Hippopotamus amphibius,II
,CLASS MAMMALIA (MAMMALS),SUIDAE,Babyrousa babyrussa,I
,CLASS MAMMALIA (MAMMALS),SUIDAE,Babyrousa bolabatuensis,I
,CLASS MAMMALIA (MAMMALS),SUIDAE,Babyrousa celebensis,I
,CLASS MAMMALIA (MAMMALS),SUIDAE,Babyrousa togeanensis,I
,CLASS MAMMALIA (MAMMALS),SUIDAE,Sus salvanius,I
,CLASS MAMMALIA (MAMMALS),TAYASSUIDAE,Catagonus wagneri,I
,CLASS MAMMALIA (MAMMALS),TAYASSUIDAE,"TAYASSUIDAE spp. (Except the species included in Appendix I and the populations of Pecari tajacu of Mexico and the United States of America, which are not included in the Appendices)",II
,CLASS MAMMALIA (MAMMALS),AILURIDAE,Ailurus fulgens,I
,CLASS MAMMALIA (MAMMALS),CANIDAE,Vulpes cana,II
,CLASS MAMMALIA (MAMMALS),CANIDAE,Vulpes zerda,II
,CLASS MAMMALIA (MAMMALS),CANIDAE,Vulpes vulpes griffithi (India),III
,CLASS MAMMALIA (MAMMALS),CANIDAE,Vulpes vulpes montana (India),III
,CLASS MAMMALIA (MAMMALS),CANIDAE,Vulpes vulpes pusilla (India),III
,CLASS MAMMALIA (MAMMALS),CANIDAE,Cryptoprocta ferox,II
,CLASS MAMMALIA (MAMMALS),CANIDAE,Eupleres goudotii,II
,CLASS MAMMALIA (MAMMALS),CANIDAE,Fossa fossana,II
,CLASS MAMMALIA (MAMMALS),FELIDAE,Lynx pardinus,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Neofelis diardi,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Neofelis nebulosa,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Panthera leo (Only the populations of,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,India; all other populations are included in Appendix II),I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Panthera onca,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Panthera pardus,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Panthera tigris,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Panthera uncia,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Pardofelis marmorata,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Prionailurus bengalensis bengalensis,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,"(Only the populations of Bangladesh,",I
,CLASS MAMMALIA (MAMMALS),FELIDAE,India and Thailand; all other populations are included in Appendix II),I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Prionailurus planiceps,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Prionailurus rubiginosus (Only the population of India; all other populations,I
,CLASS MAMMALIA (MAMMALS),FELIDAE,Puma concolor (Only the populations of Costa Rica and Panama; all other populations are included in Appendix II),I
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,"Herpestes edwardsi (India, Pakistan)",III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes fuscus (India),III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes javanicus (Pakistan),III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes javanicus auropunctatus,III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,(India),III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes smithii (India),III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes urva (India),III
,CLASS MAMMALIA (MAMMALS),HERPESTIDAE,Herpestes vitticollis (India),III
,CLASS MAMMALIA (MAMMALS),HYAENIDAE,Hyaena hyaena (Pakistan),III
,CLASS MAMMALIA (MAMMALS),HYAENIDAE,Proteles cristata (Botswana),III
,CLASS MAMMALIA (MAMMALS),HYAENIDAE,Conepatus humboldtii,II
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Aonyx capensis microdon (Only the populations of Cameroon and Nigeria; all other populations are included in,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Appendix II),I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Aonyx cinereus,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Enhydra lutris nereis,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lontra felina,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lontra longicaudis,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lontra provocax,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lutra lutra,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lutra nippon,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Lutrogale perspicillata,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Pteronura brasiliensis,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,LUTRINAE spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mustela nigripes,I
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Eira barbara (Honduras),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Martes flavigula (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Martes foina intermedia (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Martes gwatkinsii (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mellivora capensis (Botswana),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mustela altaica (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mustela erminea ferghanae (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mustela kathiah (India),III
,CLASS MAMMALIA (MAMMALS),LUTRINAE,Mustela sibirica (India),III
,CLASS MAMMALIA (MAMMALS),ODOBENIDAE,Odobenus rosmarus (Canada),III
,CLASS MAMMALIA (MAMMALS),OTARIIDAE,Arctocephalus townsendi,I
,CLASS MAMMALIA (MAMMALS),OTARIIDAE,Arctocephalus spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),PHOCIDAE,Monachus spp.,I
,CLASS MAMMALIA (MAMMALS),PHOCIDAE,Mirounga leonina,II
,CLASS MAMMALIA (MAMMALS),PROCYONIDAE,Nasua narica (Honduras),III
,CLASS MAMMALIA (MAMMALS),PROCYONIDAE,Nasua nasua solitaria (Uruguay),III
,CLASS MAMMALIA (MAMMALS),PROCYONIDAE,Potos flavus (Honduras),III
,CLASS MAMMALIA (MAMMALS),URSIDAE,Ailuropoda melanoleuca,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Helarctos malayanus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Melursus ursinus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Tremarctos ornatus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Ursus arctos (Only the populations of,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,"Bhutan, China, Mexico and Mongolia; all other populations are included in",I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Appendix II),I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Ursus arctos isabellinus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Ursus thibetanus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,URSIDAE spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),URSIDAE,Viverra civettina (India),III
,CLASS MAMMALIA (MAMMALS),URSIDAE,Viverra zibetha (India),III
,CLASS MAMMALIA (MAMMALS),URSIDAE,Viverricula indica (India),III
,CLASS MAMMALIA (MAMMALS),URSIDAE,CETACEA spp. A6 (Except the species,II
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaena mysticetus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Eubalaena spp.,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,"Balaenoptera acutorostrata (Except the population of West Greenland, which is included in Appendix II)",I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera bonaerensis,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera borealis,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera edeni,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera musculus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera omurai,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Balaenoptera physalus,I
,CLASS MAMMALIA (MAMMALS),URSIDAE,Megaptera novaeangliae,I
,CLASS MAMMALIA (MAMMALS),DELPHINIDAE,Orcaella brevirostris,I
,CLASS MAMMALIA (MAMMALS),DELPHINIDAE,Orcaella heinsohni,I
,CLASS MAMMALIA (MAMMALS),DELPHINIDAE,Sotalia spp.,I
,CLASS MAMMALIA (MAMMALS),DELPHINIDAE,Sousa spp.,I
,CLASS MAMMALIA (MAMMALS),ESCHRICHTIIDAE,Eschrichtius robustus,I
,CLASS MAMMALIA (MAMMALS),INIIDAE,Lipotes vexillifer,I
,CLASS MAMMALIA (MAMMALS),NEOBALAENIDAE,Caperea marginata,I
,CLASS MAMMALIA (MAMMALS),PHOCOENIDAE,Neophocaena asiaeorientalis,I
,CLASS MAMMALIA (MAMMALS),PHOCOENIDAE,Neophocaena phocaenoides,I
,CLASS MAMMALIA (MAMMALS),PHOCOENIDAE,Phocoena sinus,I
,CLASS MAMMALIA (MAMMALS),PHYSETERIDAE,Physeter macrocephalus,I
,CLASS MAMMALIA (MAMMALS),PLATANISTIDAE,Platanista spp.,I
,CLASS MAMMALIA (MAMMALS),PLATANISTIDAE,Berardius spp.,I
,CLASS MAMMALIA (MAMMALS),PLATANISTIDAE,Hyperoodon spp.,I
,CLASS MAMMALIA (MAMMALS),PLATANISTIDAE,Platyrrhinus lineatus (Uruguay),III
,CLASS MAMMALIA (MAMMALS),PTEROPODIDAE,Pteropus yapensis,I
,CLASS MAMMALIA (MAMMALS),DASYPODIDAE,Priodontes maximus,I
,CLASS MAMMALIA (MAMMALS),DASYPODIDAE,Chaetophractus nationi A7,II
,CLASS MAMMALIA (MAMMALS),DASYPODIDAE,Cabassous tatouay (Uruguay),III
,CLASS MAMMALIA (MAMMALS),DASYURIDAE,Sminthopsis longicaudata,I
,CLASS MAMMALIA (MAMMALS),DASYURIDAE,Sminthopsis psammophila,I
,CLASS MAMMALIA (MAMMALS),MACROPODIDAE,Lagorchestes hirsutus,I
,CLASS MAMMALIA (MAMMALS),MACROPODIDAE,Lagostrophus fasciatus,I
,CLASS MAMMALIA (MAMMALS),MACROPODIDAE,Onychogalea fraenata,I
,CLASS MAMMALIA (MAMMALS),MACROPODIDAE,Dendrolagus inustus,II
,CLASS MAMMALIA (MAMMALS),MACROPODIDAE,Dendrolagus ursinus,II
,CLASS MAMMALIA (MAMMALS),PHALANGERIDAE,Phalanger intercastellanus,II
,CLASS MAMMALIA (MAMMALS),PHALANGERIDAE,Phalanger mimicus,II
,CLASS MAMMALIA (MAMMALS),PHALANGERIDAE,Phalanger orientalis,II
,CLASS MAMMALIA (MAMMALS),PHALANGERIDAE,Spilocuscus kraemeri,II
,CLASS MAMMALIA (MAMMALS),PHALANGERIDAE,Spilocuscus maculatus,II
,CLASS MAMMALIA (MAMMALS),PHALANGERIDAE,Spilocuscus papuensis,II
,CLASS MAMMALIA (MAMMALS),POTOROIDAE,Bettongia spp.,I
,CLASS MAMMALIA (MAMMALS),POTOROIDAE,Lasiorhinus krefftii,I
,CLASS MAMMALIA (MAMMALS),LEPORIDAE,Caprolagus hispidus,I
,CLASS MAMMALIA (MAMMALS),LEPORIDAE,Romerolagus diazi,I
,CLASS MAMMALIA (MAMMALS),TACHYGLOSSIDAE,Zaglossus spp.,II
,CLASS MAMMALIA (MAMMALS),PERAMELIDAE,Perameles bougainville,I
,CLASS MAMMALIA (MAMMALS),THYLACOMYIDAE,Macrotis lagotis,I
,CLASS MAMMALIA (MAMMALS),EQUIDAE,"Equus africanus {Excludes the domesticated form, which is referenced as Equus asinus, and is not subject to the provisions of the Convention}",I
,CLASS MAMMALIA (MAMMALS),EQUIDAE,Equus grevyi,I
,CLASS MAMMALIA (MAMMALS),EQUIDAE,Equus hemionus hemionus,I
,CLASS MAMMALIA (MAMMALS),EQUIDAE,Equus hemionus khur,I
,CLASS MAMMALIA (MAMMALS),EQUIDAE,Equus hemionus luteus,I
,CLASS MAMMALIA (MAMMALS),EQUIDAE,Equus przewalskii,I
,CLASS MAMMALIA (MAMMALS),EQUIDAE,Equus hemionus (Except the subspecies included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),EQUIDAE,Equus kiang,II
,CLASS MAMMALIA (MAMMALS),EQUIDAE,Equus zebra hartmannae,II
,CLASS MAMMALIA (MAMMALS),EQUIDAE,Equus zebra zebra,II
,CLASS MAMMALIA (MAMMALS),RHINOCEROTIDAE,RHINOCEROTIDAE spp. (Except the subspecies included in Appendix II),I
,CLASS MAMMALIA (MAMMALS),RHINOCEROTIDAE,"Ceratotherium simum simum (Only the populations of EswatiniA8, NamibiaA9 and South AfricaA8; all other populations are included in Appendix I)",II
,CLASS MAMMALIA (MAMMALS),TAPIRIDAE,TAPIRIDAE spp. (Except the species included in Appendix II),I
,CLASS MAMMALIA (MAMMALS),TAPIRIDAE,Tapirus terrestris,II
,CLASS MAMMALIA (MAMMALS),MANIDAE,Manis crassicaudata,I
,CLASS MAMMALIA (MAMMALS),MANIDAE,Manis culionensis,I
,CLASS MAMMALIA (MAMMALS),MANIDAE,Manis gigantea,I
,CLASS MAMMALIA (MAMMALS),MANIDAE,Manis javanica,I
,CLASS MAMMALIA (MAMMALS),MANIDAE,Manis pentadactyla,I
,CLASS MAMMALIA (MAMMALS),MANIDAE,Manis temminckii,I
,CLASS MAMMALIA (MAMMALS),MANIDAE,Manis tetradactyla,I
,CLASS MAMMALIA (MAMMALS),MANIDAE,Manis tricuspis,I
,CLASS MAMMALIA (MAMMALS),MANIDAE,Manis spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),BRADYPODIDAE,Bradypus pygmaeus,II
,CLASS MAMMALIA (MAMMALS),BRADYPODIDAE,Bradypus variegatus,II
,CLASS MAMMALIA (MAMMALS),BRADYPODIDAE,Myrmecophaga tridactyla,II
,CLASS MAMMALIA (MAMMALS),BRADYPODIDAE,Tamandua mexicana (Guatemala),III
,CLASS MAMMALIA (MAMMALS),PRIMATES,PRIMATES spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),PRIMATES,Alouatta palliata,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Alouatta pigra,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Ateles geoffroyi frontatus,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Ateles geoffroyi ornatus,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Brachyteles arachnoides,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Brachyteles hypoxanthus,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Oreonax flavicauda,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Callimico goeldii,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Callithrix aurita,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Callithrix flaviceps,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Leontopithecus spp.,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Saguinus bicolor,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Saguinus geoffroyi,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Saguinus leucopus,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Saguinus martinsi,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Saguinus oedipus,I
,CLASS MAMMALIA (MAMMALS),PRIMATES,Saimiri oerstedii,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Mandrillus sphinx,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Nasalis larvatus,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Piliocolobus kirkii,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Piliocolobus rufomitratus,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Presbytis potenziani,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Pygathrix spp.,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Rhinopithecus spp.,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Semnopithecus ajax,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Semnopithecus dussumieri,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Semnopithecus entellus,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Semnopithecus hector,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Semnopithecus hypoleucos,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Semnopithecus priam,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Semnopithecus schistaceus,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Simias concolor,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Trachypithecus geei,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Trachypithecus pileatus,I
,CLASS MAMMALIA (MAMMALS),CERCOPITHECIDAE,Trachypithecus shortridgei,I
,CLASS MAMMALIA (MAMMALS),CHEIROGALEIDAE,CHEIROGALEIDAE spp.,I
,CLASS MAMMALIA (MAMMALS),DAUBENTONIIDAE,Daubentonia madagascariensis,I
,CLASS MAMMALIA (MAMMALS),DAUBENTONIIDAE,Gorilla beringei,I
,CLASS MAMMALIA (MAMMALS),DAUBENTONIIDAE,Gorilla gorilla,I
,CLASS MAMMALIA (MAMMALS),DAUBENTONIIDAE,Pan spp.,I
,CLASS MAMMALIA (MAMMALS),DAUBENTONIIDAE,Pongo abelii,I
,CLASS MAMMALIA (MAMMALS),DAUBENTONIIDAE,Pongo pygmaeus,I
,CLASS MAMMALIA (MAMMALS),DAUBENTONIIDAE,Pongo tapanuliensis,I
,CLASS MAMMALIA (MAMMALS),HYLOBATIDAE,HYLOBATIDAE spp.,I
,CLASS MAMMALIA (MAMMALS),HYLOBATIDAE,INDRIIDAE spp.,I
,CLASS MAMMALIA (MAMMALS),LEMURIDAE,LEMURIDAE spp.,I
,CLASS MAMMALIA (MAMMALS),LEPILEMURIDAE,LEPILEMURIDAE spp.,I
,CLASS MAMMALIA (MAMMALS),LORISIDAE,Nycticebus spp.,I
,CLASS MAMMALIA (MAMMALS),PITHECIIDAE,Cacajao spp.,I
,CLASS MAMMALIA (MAMMALS),PITHECIIDAE,Chiropotes albinasus,I
,CLASS MAMMALIA (MAMMALS),ELEPHANTIDAE,Elephas maximus,I
,CLASS MAMMALIA (MAMMALS),ELEPHANTIDAE,"Loxodonta africana (Except the populations of Botswana, Namibia,",I
,CLASS MAMMALIA (MAMMALS),ELEPHANTIDAE,"South Africa and Zimbabwe, which are included in Appendix II subject to annotation A10)",I
,CLASS MAMMALIA (MAMMALS),ELEPHANTIDAE,Loxodonta africana A10 (Only the,II
,CLASS MAMMALIA (MAMMALS),ELEPHANTIDAE,South Africa and Zimbabwe; all other populations are included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),CHINCHILLIDAE,Chinchilla spp. A1,I
,CLASS MAMMALIA (MAMMALS),CUNICULIDAE,Cuniculus paca (Honduras),III
,CLASS MAMMALIA (MAMMALS),DASYPROCTIDAE,Dasyprocta punctata (Honduras),III
,CLASS MAMMALIA (MAMMALS),DASYPROCTIDAE,Sphiggurus mexicanus (Honduras),III
,CLASS MAMMALIA (MAMMALS),DASYPROCTIDAE,Sphiggurus spinosus (Uruguay),III
,CLASS MAMMALIA (MAMMALS),MURIDAE,Leporillus conditor,II
,CLASS MAMMALIA (MAMMALS),MURIDAE,Pseudomys fieldi,II
,CLASS MAMMALIA (MAMMALS),MURIDAE,Xeromys myoides,II
,CLASS MAMMALIA (MAMMALS),MURIDAE,Zyzomys pedunculatus,II
,CLASS MAMMALIA (MAMMALS),MURIDAE,Cynomys mexicanus,II
,CLASS MAMMALIA (MAMMALS),MURIDAE,Ratufa spp.,II
,CLASS MAMMALIA (MAMMALS),MURIDAE,Marmota caudata (India),III
,CLASS MAMMALIA (MAMMALS),MURIDAE,Marmota himalayana (India),III
,CLASS MAMMALIA (MAMMALS),SCANDENTIA,SCANDENTIA spp.,II
,CLASS MAMMALIA (MAMMALS),DUGONGIDAE,Dugong dugon,I
,CLASS MAMMALIA (MAMMALS),TRICHECHIDAE,Trichechus inunguis,I
,CLASS MAMMALIA (MAMMALS),TRICHECHIDAE,Trichechus manatus,I
,CLASS MAMMALIA (MAMMALS),TRICHECHIDAE,Trichechus senegalensis,I
,CLASS MAMMALIA (MAMMALS),ANATIDAE,Anas aucklandica,I
,CLASS MAMMALIA (MAMMALS),ANATIDAE,Anas chlorotis,I
,CLASS MAMMALIA (MAMMALS),ANATIDAE,Anas laysanensis,I
