Classe,Ordem,Família,Espécie/Grupo,Status CITES
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,"TanzaniaA16, Zambia and Zimbabwe, which are included in Appendix II)",I
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,Crocodylus palustris,I
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,"Crocodylus porosus (Except the populations of Australia, Indonesia,",I
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,"MalaysiaA17, Papua New Guinea and the",I
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,Philippines [population of the Palawan,I
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,"Islands]A18, which are included in",I
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,Appendix II),I
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,Crocodylus rhombifer,I
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,Crocodylus siamensis,I
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,Osteolaemus tetraspis,I
,CLASS MAMMALIA (MAMMALS),CROCODYLIDAE,Tomistoma schlegelii,I
,CLASS MAMMALIA (MAMMALS),GAVIALIDAE,Gavialis gangeticus,I
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Sphenodon spp.,I
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Ceratophora erdeleni,I
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Ceratophora karu,I
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Ceratophora tennentii,I
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Cophotis ceylanica,I
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Cophotis dumbara,I
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Ceratophora aspera A19,II
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Ceratophora stoddartii A19,II
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Lyriocephalus scutatus A19,II
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Physignathus cocincinus,II
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Saara spp.,II
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Uromastyx spp.,II
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Calotes liolepis (Sri Lanka),III
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Calotes manamendrai (Sri Lanka),III
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Calotes nigrilabris (Sri Lanka),III
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Calotes pethiyagodai (Sri Lanka),III
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Ctenophorus spp. (Australia),III
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Intellagama spp. (Australia),III
,CLASS MAMMALIA (MAMMALS),SPHENODONTIDAE,Tympanocryptis spp. (Australia),III
,CLASS MAMMALIA (MAMMALS),ANGUIDAE,Abronia anzuetoi,I
,CLASS MAMMALIA (MAMMALS),ANGUIDAE,Abronia campbelli,I
,CLASS MAMMALIA (MAMMALS),ANGUIDAE,Abronia fimbriata,I
,CLASS MAMMALIA (MAMMALS),ANGUIDAE,Abronia frosti,I
,CLASS MAMMALIA (MAMMALS),ANGUIDAE,Abronia meledona,I
,CLASS MAMMALIA (MAMMALS),ANGUIDAE,Abronia spp. A20 (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Brookesia perarmata,I
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Brookesia spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Calumma spp.,II
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Chamaeleo spp.,II
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Furcifer spp.,II
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Kinyongia spp.,II
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Nadzikambia spp.,II
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Palleon spp.,II
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Rhampholeon spp.,II
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Rieppeleon spp.,II
,CLASS MAMMALIA (MAMMALS),CHAMAELEONIDAE,Trioceros spp.,II
,CLASS MAMMALIA (MAMMALS),CORDYLIDAE,Cordylus spp.,II
,CLASS MAMMALIA (MAMMALS),CORDYLIDAE,Hemicordylus spp.,II
,CLASS MAMMALIA (MAMMALS),CORDYLIDAE,Karusaurus spp.,II
,CLASS MAMMALIA (MAMMALS),CORDYLIDAE,Namazonurus spp.,II
,CLASS MAMMALIA (MAMMALS),CORDYLIDAE,Ninurta spp.,II
,CLASS MAMMALIA (MAMMALS),CORDYLIDAE,Ouroborus spp.,II
,CLASS MAMMALIA (MAMMALS),CORDYLIDAE,Pseudocordylus spp.,II
,CLASS MAMMALIA (MAMMALS),CORDYLIDAE,Smaug spp.,II
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Tarentola chazaliae,II
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Uroplatus spp.,II
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Sphaerodactylus notatus atactus,III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,(Cuba),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Sphaerodactylus oliveri (Cuba),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Sphaerodactylus pimienta (Cuba),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Sphaerodactylus ruibali (Cuba),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Sphaerodactylus siboney (Cuba),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Sphaerodactylus torrei (Cuba),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Strophurus spp. (Australia),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Toropuku spp. (New Zealand),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Tukutuku spp. (New Zealand),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Underwoodisaurus spp. (Australia),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Uvidicolus spp. (Australia),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Woodworthia spp. (New Zealand),III
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Heloderma horridum charlesbogerti,I
,CLASS MAMMALIA (MAMMALS),GEKKONIDAE,Heloderma spp. (Except the subspecies included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),IGUANIDAE,Brachylophus spp.,I
,CLASS MAMMALIA (MAMMALS),IGUANIDAE,Cyclura spp.,I
,CLASS MAMMALIA (MAMMALS),IGUANIDAE,Sauromalus varius,I
,CLASS MAMMALIA (MAMMALS),IGUANIDAE,Amblyrhynchus cristatus,II
,CLASS MAMMALIA (MAMMALS),IGUANIDAE,Conolophus spp.,II
,CLASS MAMMALIA (MAMMALS),IGUANIDAE,Ctenosaura spp.,II
,CLASS MAMMALIA (MAMMALS),IGUANIDAE,Iguana spp.,II
,CLASS MAMMALIA (MAMMALS),LACERTIDAE,Gallotia simonyi,I
,CLASS MAMMALIA (MAMMALS),LACERTIDAE,Podarcis lilfordi,II
,CLASS MAMMALIA (MAMMALS),LACERTIDAE,Podarcis pityusensis,II
,CLASS MAMMALIA (MAMMALS),LACERTIDAE,LANTHANOTIDAE spp. A19,II
,CLASS MAMMALIA (MAMMALS),PHRYNOSOMATIDAE,Phrynosoma spp.,II
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Anolis agueroi (Cuba),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Anolis baracoae (Cuba),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Anolis barbatus (Cuba),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Anolis chamaeleonides (Cuba),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Anolis equestris (Cuba),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Anolis guamuhaya (Cuba),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Anolis luteogularis (Cuba),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Anolis pigmaequestris (Cuba),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Anolis porcus (Cuba),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Tiliqua adelaidensis,I
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Corucia zebrata,II
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Egernia spp. (Australia),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Tiliqua multifasciata (Australia),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Tiliqua nigrolutea (Australia),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Tiliqua occipitalis (Australia),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Tiliqua rugosa (Australia),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Tiliqua scincoides intermedia,III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,(Australia),III
,CLASS MAMMALIA (MAMMALS),POLYCHROTIDAE,Tiliqua scincoides scincoides,III
,CLASS MAMMALIA (MAMMALS),TEIIDAE,Tupinambis spp.,II
,CLASS MAMMALIA (MAMMALS),VARANIDAE,Varanus bengalensis,I
,CLASS MAMMALIA (MAMMALS),VARANIDAE,Varanus flavescens,I
,CLASS MAMMALIA (MAMMALS),VARANIDAE,Varanus griseus,I
,CLASS MAMMALIA (MAMMALS),VARANIDAE,Varanus komodoensis,I
,CLASS MAMMALIA (MAMMALS),VARANIDAE,Varanus nebulosus,I
,CLASS MAMMALIA (MAMMALS),VARANIDAE,Varanus spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),VARANIDAE,Shinisaurus crocodilurus,I
,CLASS MAMMALIA (MAMMALS),BOIDAE,Acrantophis spp.,I
,CLASS MAMMALIA (MAMMALS),BOIDAE,Boa constrictor occidentalis,I
,CLASS MAMMALIA (MAMMALS),BOIDAE,Chilabothrus monensis,I
,CLASS MAMMALIA (MAMMALS),BOIDAE,Chilabothrus subflavus,I
,CLASS MAMMALIA (MAMMALS),BOIDAE,Sanzinia madagascariensis,I
,CLASS MAMMALIA (MAMMALS),BOIDAE,BOIDAE spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),BOLYERIIDAE,Bolyeria multocarinata,I
,CLASS MAMMALIA (MAMMALS),BOLYERIIDAE,Casarea dussumieri,I
,CLASS MAMMALIA (MAMMALS),BOLYERIIDAE,BOLYERIIDAE spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),BOLYERIIDAE,Xenochrophis schnurrenbergeri,III
,CLASS MAMMALIA (MAMMALS),BOLYERIIDAE,(India),III
,CLASS MAMMALIA (MAMMALS),BOLYERIIDAE,Xenochrophis tytleri (India),III
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Hoplocephalus bungaroides,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja atra,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja kaouthia,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja mandalayensis,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja naja,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja oxiana,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja philippinensis,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja sagittifera,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja samarensis,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja siamensis,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja sputatrix,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Naja sumatrana,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Ophiophagus hannah,II
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Micrurus diastema (Honduras),III
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Micrurus nigrocinctus (Honduras),III
,CLASS MAMMALIA (MAMMALS),ELAPIDAE,Micrurus ruatanus (Honduras),III
,CLASS MAMMALIA (MAMMALS),LOXOCEMIDAE,LOXOCEMIDAE spp.,II
,CLASS MAMMALIA (MAMMALS),PYTHONIDAE,Python molurus,I
,CLASS MAMMALIA (MAMMALS),PYTHONIDAE,PYTHONIDAE spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),TROPIDOPHIIDAE,TROPIDOPHIIDAE spp.,II
,CLASS MAMMALIA (MAMMALS),VIPERIDAE,Vipera ursinii (Only the population of,I
,CLASS MAMMALIA (MAMMALS),VIPERIDAE,"Europe, except the area which formerly constituted the Union of Soviet Socialist",I
,CLASS MAMMALIA (MAMMALS),VIPERIDAE,Republics; these latter populations are not included in the Appendices),I
,CLASS MAMMALIA (MAMMALS),VIPERIDAE,Montivipera wagneri,II
,CLASS MAMMALIA (MAMMALS),VIPERIDAE,Protobothrops mangshanensis,II
,CLASS MAMMALIA (MAMMALS),VIPERIDAE,Pseudocerastes urarachnoides,II
,CLASS MAMMALIA (MAMMALS),CARETTOCHELYIDAE,Carettochelys insculpta,II
,CLASS MAMMALIA (MAMMALS),CARETTOCHELYIDAE,Pseudemydura umbrina,I
,CLASS MAMMALIA (MAMMALS),CARETTOCHELYIDAE,Chelodina mccordi A21,II
,CLASS MAMMALIA (MAMMALS),CARETTOCHELYIDAE,Chelus fimbriatus {Includes Chelus orinocensis},II
,CLASS MAMMALIA (MAMMALS),CHELONIIDAE,CHELONIIDAE spp.,I
,CLASS MAMMALIA (MAMMALS),CHELYDRIDAE,Chelydra serpentina,II
,CLASS MAMMALIA (MAMMALS),CHELYDRIDAE,Macrochelys temminckii,II
,CLASS MAMMALIA (MAMMALS),CHELYDRIDAE,Dermatemys mawii,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Dermochelys coriacea,I
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Glyptemys muhlenbergii,I
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Terrapene coahuila,I
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Glyptemys insculpta,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Graptemys barbouri,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Graptemys ernsti,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Graptemys gibbonsi,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Graptemys pearlensis,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Graptemys pulchra,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Malaclemys terrapin,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Terrapene spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Graptemys spp. (Except the species included in Appendix II) (United States of,III
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,America),III
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Mauremys annamensis,I
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Melanochelys tricarinata,I
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Morenia ocellata,I
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Pangshura tecta,I
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Heosemys annandalii A22,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Heosemys depressa A22,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Heosemys grandis,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Heosemys spinosa,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Leucocephalon yuwonoi,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Malayemys khoratensis,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Malayemys macrocephala,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Malayemys subtrijuga,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Mauremys japonica,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Mauremys mutica,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Mauremys nigricans,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Melanochelys trijuga,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Morenia petersi,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Notochelys platynota,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Orlitia borneensis A22,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Pangshura spp. (Except the species,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Rhinoclemmys spp.,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Sacalia bealei,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Sacalia quadriocellata,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Siebenrockiella crassicollis,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Siebenrockiella leytensis,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Vijayachelys silvatica,II
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Mauremys reevesii (China),III
,CLASS MAMMALIA (MAMMALS),DERMOCHELYIDAE,Mauremys sinensis (China),III
,CLASS MAMMALIA (MAMMALS),KINOSTERNIDAE,Kinosternon cora,I
,CLASS MAMMALIA (MAMMALS),KINOSTERNIDAE,Kinosternon vogti,I
,CLASS MAMMALIA (MAMMALS),KINOSTERNIDAE,Kinosternon spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),KINOSTERNIDAE,Staurotypus salvinii,II
,CLASS MAMMALIA (MAMMALS),KINOSTERNIDAE,Staurotypus triporcatus,II
,CLASS MAMMALIA (MAMMALS),KINOSTERNIDAE,Sternotherus spp.,II
,CLASS MAMMALIA (MAMMALS),PLATYSTERNIDAE,PLATYSTERNIDAE spp.,I
,CLASS MAMMALIA (MAMMALS),PLATYSTERNIDAE,Erymnochelys madagascariensis,II
,CLASS MAMMALIA (MAMMALS),PLATYSTERNIDAE,Peltocephalus dumerilianus,II
,CLASS MAMMALIA (MAMMALS),PLATYSTERNIDAE,Podocnemis spp.,II
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Astrochelys radiata,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Astrochelys yniphora,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Chelonoidis niger,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Geochelone elegans,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Geochelone platynota,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Gopherus flavomarginatus,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Malacochersus tornieri,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Psammobates geometricus,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Pyxis arachnoides,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Pyxis planicauda,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,Testudo kleinmanni,I
,CLASS MAMMALIA (MAMMALS),TESTUDINIDAE,TESTUDINIDAE spp. A23 (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Apalone spinifera atra,I
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Chitra chitra,I
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Chitra vandijki,I
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Nilssonia gangetica,I
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Nilssonia hurum,I
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Nilssonia leithii,I
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Nilssonia nigricans,I
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Chitra spp. (Except the species included in Appendix I),II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Cyclanorbis elegans,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Cyclanorbis senegalensis,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Cycloderma aubryi,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Cycloderma frenatum,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Dogania subplana,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Lissemys ceylonensis,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Lissemys punctata,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Lissemys scutata,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Nilssonia formosa,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Palea steindachneri,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Pelochelys spp.,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Pelodiscus axenaria,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Pelodiscus maackii,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Pelodiscus parviformis,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Rafetus euphraticus,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Rafetus swinhoei,II
,CLASS MAMMALIA (MAMMALS),TRIONYCHIDAE,Trionyx triunguis,II
,CLASS MAMMALIA (MAMMALS),AROMOBATIDAE,Allobates femoralis,II
,CLASS MAMMALIA (MAMMALS),AROMOBATIDAE,Allobates hodli,II
,CLASS MAMMALIA (MAMMALS),AROMOBATIDAE,Allobates myersi,II
,CLASS MAMMALIA (MAMMALS),AROMOBATIDAE,Allobates zaparo,II
,CLASS MAMMALIA (MAMMALS),AROMOBATIDAE,Anomaloglossus rufulus,II
,CLASS MAMMALIA (MAMMALS),BUFONIDAE,Altiphrynoides spp.,I
,CLASS MAMMALIA (MAMMALS),BUFONIDAE,Atelopus zeteki,I
,CLASS MAMMALIA (MAMMALS),BUFONIDAE,Incilius periglenes,I
,CLASS MAMMALIA (MAMMALS),BUFONIDAE,Nectophrynoides spp.,I
,CLASS MAMMALIA (MAMMALS),BUFONIDAE,Nimbaphrynoides spp.,I
,CLASS MAMMALIA (MAMMALS),BUFONIDAE,Sclerophrys channingi,I
,CLASS MAMMALIA (MAMMALS),BUFONIDAE,Sclerophrys superciliaris,I
,CLASS MAMMALIA (MAMMALS),CALYPTOCEPHALELLIDAE,Calyptocephalella gayi (Chile),III
,CLASS MAMMALIA (MAMMALS),CENTROLENIDAE,CENTROLENIDAE spp.,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Adelphobates spp.,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Ameerega spp.,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Andinobates spp.,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Dendrobates spp.,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Epipedobates spp.,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Excidobates spp.,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Hyloxalus azureiventris,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Minyobates spp.,II
