Classe,Ordem,Família,Espécie/Grupo,Status CITES
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Oophaga spp.,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Paruwrobates andinus,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Paruwrobates erythromos,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Phyllobates spp.,II
,CLASS MAMMALIA (MAMMALS),DENDROBATIDAE,Ranitomeya spp.,II
,CLASS MAMMALIA (MAMMALS),DICROGLOSSIDAE,Euphlyctis hexadactylus,II
,CLASS MAMMALIA (MAMMALS),DICROGLOSSIDAE,Hoplobatrachus tigerinus,II
,CLASS MAMMALIA (MAMMALS),HYLIDAE,Agalychnis spp.A24 {Includes,II
,CLASS MAMMALIA (MAMMALS),HYLIDAE,"Agalychnis annae, A. callidryas, A. lemur, A. moreletii, A. saltator, A. spurrelli and A. terranova}",II
,CLASS MAMMALIA (MAMMALS),MANTELLIDAE,Mantella spp.,II
,CLASS MAMMALIA (MAMMALS),MICROHYLIDAE,Dyscophus antongilii,II
,CLASS MAMMALIA (MAMMALS),MICROHYLIDAE,Dyscophus guineti,II
,CLASS MAMMALIA (MAMMALS),MICROHYLIDAE,Dyscophus insularis,II
,CLASS MAMMALIA (MAMMALS),MICROHYLIDAE,Scaphiophryne boribory,II
,CLASS MAMMALIA (MAMMALS),MICROHYLIDAE,Scaphiophryne gottlebei,II
,CLASS MAMMALIA (MAMMALS),MICROHYLIDAE,Scaphiophryne marmorata,II
,CLASS MAMMALIA (MAMMALS),MICROHYLIDAE,Scaphiophryne spinosa,II
,CLASS MAMMALIA (MAMMALS),MICROHYLIDAE,Rheobatrachus spp. (Except,II
,CLASS MAMMALIA (MAMMALS),MICROHYLIDAE,Rheobatrachus silus and,II
,CLASS MAMMALIA (MAMMALS),MICROHYLIDAE,Rheobatrachus vitellinus which are not included in the Appendices),II
,CLASS MAMMALIA (MAMMALS),TELMATOBIIDAE,Telmatobius culeus,I
,CLASS MAMMALIA (MAMMALS),TELMATOBIIDAE,Ambystoma dumerilii,II
,CLASS MAMMALIA (MAMMALS),TELMATOBIIDAE,Ambystoma mexicanum,II
,CLASS MAMMALIA (MAMMALS),TELMATOBIIDAE,Andrias spp.,I
,CLASS MAMMALIA (MAMMALS),TELMATOBIIDAE,Cryptobranchus alleganiensis (United,III
,CLASS MAMMALIA (MAMMALS),TELMATOBIIDAE,States of America),III
,CLASS MAMMALIA (MAMMALS),HYNOBIIDAE,Hynobius amjiensis (China),III
,CLASS MAMMALIA (MAMMALS),HYNOBIIDAE,Neurergus kaiseri,I
,CLASS MAMMALIA (MAMMALS),HYNOBIIDAE,Echinotriton chinhaiensis,II
,CLASS MAMMALIA (MAMMALS),HYNOBIIDAE,Echinotriton maxiquadratus,II
,CLASS MAMMALIA (MAMMALS),HYNOBIIDAE,Laotriton laoensisA24,II
,CLASS MAMMALIA (MAMMALS),HYNOBIIDAE,Paramesotriton spp.,II
,CLASS MAMMALIA (MAMMALS),HYNOBIIDAE,Tylototriton spp.,II
,CLASS MAMMALIA (MAMMALS),HYNOBIIDAE,Echinotriton andersoni #18 (Japan),III
,CLASS MAMMALIA (MAMMALS),HYNOBIIDAE,Salamandra algira (Algeria),III
,(SHARKS),CARCHARHINIDAE,CARCHARHINIDAE spp.,II
,(SHARKS),SPHYRNIDAE,SPHYRNIDAE spp.,II
,(SHARKS),ALOPIIDAE,Alopias spp.,II
,(SHARKS),CETORHINIDAE,Cetorhinus maximus,II
,(SHARKS),LAMNIDAE,Isurus oxyrinchus,II
,(SHARKS),LAMNIDAE,Isurus paucus,II
,(SHARKS),LAMNIDAE,Lamna nasus,II
,(SHARKS),MYLIOBATIDAE,Mobula spp.,II
,(SHARKS),MYLIOBATIDAE,Potamotrygon albimaculata,II
,(SHARKS),MYLIOBATIDAE,Potamotrygon henlei,II
,(SHARKS),MYLIOBATIDAE,Potamotrygon jabuti,II
,(SHARKS),MYLIOBATIDAE,Potamotrygon leopoldi,II
,(SHARKS),MYLIOBATIDAE,Potamotrygon marquesi,II
,(SHARKS),MYLIOBATIDAE,Potamotrygon signata,II
,(SHARKS),MYLIOBATIDAE,Potamotrygon wallacei,II
,(SHARKS),MYLIOBATIDAE,Paratrygon aiereba (Colombia),III
,(SHARKS),MYLIOBATIDAE,Potamotrygon spp. (Only the populations of Brazil not included in,III
,(SHARKS),MYLIOBATIDAE,Appendix II) (Brazil),III
,(SHARKS),MYLIOBATIDAE,Potamotrygon constellata (Colombia),III
,(SHARKS),MYLIOBATIDAE,Potamotrygon magdalenae (Colombia),III
,(SHARKS),MYLIOBATIDAE,Potamotrygon motoro (Colombia),III
,(SHARKS),MYLIOBATIDAE,Potamotrygon orbignyi (Colombia),III
,(SHARKS),MYLIOBATIDAE,Potamotrygon schroederi (Colombia),III
,(SHARKS),MYLIOBATIDAE,Potamotrygon scobina (Colombia),III
,(SHARKS),MYLIOBATIDAE,Potamotrygon yepezi (Colombia),III
,(SHARKS),RHINCODONTIDAE,Rhincodon typus,II
,(SHARKS),PRISTIDAE,PRISTIDAE spp.,I
,(SHARKS),GLAUCOSTEGIDAE,Glaucostegus spp.,II
,(SHARKS),RHINIDAE,RHINIDAE spp.,II
,(SHARKS),RHINOBATIDAE,RHINOBATIDAE spp.,II
,(FISHES),RHINOBATIDAE,ACIPENSERIFORMES spp. (Except the species included in Appendix I),II
,(FISHES),ACIPENSERIDAE,Acipenser brevirostrum,I
,(FISHES),ACIPENSERIDAE,Acipenser sturio,I
,(FISHES),ANGUILLIDAE,Anguilla anguilla,II
,(FISHES),CATOSTOMIDAE,Chasmistes cujus,I
,(FISHES),CYPRINIDAE,Probarbus jullieni,I
,(FISHES),CYPRINIDAE,Caecobarbus geertsii,II
,(FISHES),ARAPAIMIDAE,Arapaima gigas,II
,(FISHES),OSTEOGLOSSIDAE,Scleropages formosus,I
,(FISHES),OSTEOGLOSSIDAE,Scleropages inscriptus,I
,(FISHES),LABRIDAE,Cheilinus undulatus,II
,(FISHES),POMACANTHIDAE,Holacanthus clarionensis,II
,(FISHES),POMACANTHIDAE,Holacanthus limbaughi (France),III
,(FISHES),SCIAENIDAE,Totoaba macdonaldi,I
,(FISHES),LORICARIIDAE,Hypancistrus zebra A19,II
,(FISHES),PANGASIIDAE,Pangasianodon gigas,I
,(FISHES),SYNGNATHIDAE,Hippocampus spp.,II
,(LUNGFISHES),SYNGNATHIDAE,Neoceratodus forsteri,II
,(COELACANTHS),LATIMERIIDAE,Latimeria spp.,I
,CUCUMBERS),STICHOPODIDAE,Thelenota spp.,II
,CUCUMBERS),STICHOPODIDAE,Isostichopus fuscus (Ecuador),III
,CUCUMBERS),STICHOPODIDAE,Holothuria fuscogilva,II
,CUCUMBERS),STICHOPODIDAE,Holothuria nobilis,II
,CUCUMBERS),STICHOPODIDAE,Holothuria whitmaei,II
,AND SPIDERS),STICHOPODIDAE,Aphonopelma pallidum,II
,AND SPIDERS),STICHOPODIDAE,Brachypelma spp.,II
,AND SPIDERS),STICHOPODIDAE,Poecilotheria spp.,II
,AND SPIDERS),STICHOPODIDAE,Sericopelma angustum,II
,AND SPIDERS),STICHOPODIDAE,Sericopelma embrithes,II
,AND SPIDERS),STICHOPODIDAE,Tliltocatl spp.,II
,AND SPIDERS),STICHOPODIDAE,Caribena versicolor (European Union),III
,AND SPIDERS),SCORPIONIDAE,Pandinus camerounensis,II
,AND SPIDERS),SCORPIONIDAE,Pandinus dictator,II
,AND SPIDERS),SCORPIONIDAE,Pandinus gambiensis,II
,AND SPIDERS),SCORPIONIDAE,Pandinus imperator,II
,AND SPIDERS),SCORPIONIDAE,Pandinus roeseli,II
,AND SPIDERS),LUCANIDAE,Colophon spp. (South Africa),III
,AND SPIDERS),SCARABAEIDAE,Dynastes satanas,II
,AND SPIDERS),NYMPHALIDAE,Agrias amydon boliviensis,III
,AND SPIDERS),NYMPHALIDAE,(Plurinational State of Bolivia),III
,AND SPIDERS),NYMPHALIDAE,Morpho godartii lachaumei,III
,AND SPIDERS),NYMPHALIDAE,Prepona praeneste buckleyana,III
,AND SPIDERS),NYMPHALIDAE,Achillides chikae chikae,I
,AND SPIDERS),NYMPHALIDAE,Achillides chikae hermeli,I
,AND SPIDERS),NYMPHALIDAE,Ornithoptera alexandrae,I
,AND SPIDERS),NYMPHALIDAE,Papilio homerus,I
,AND SPIDERS),NYMPHALIDAE,Parides burchellanus,I
,AND SPIDERS),NYMPHALIDAE,Atrophaneura jophon,II
,AND SPIDERS),NYMPHALIDAE,Atrophaneura pandiyana,II
,AND SPIDERS),NYMPHALIDAE,Bhutanitis spp.,II
,AND SPIDERS),NYMPHALIDAE,Ornithoptera spp. (Except the species included in Appendix I),II
,AND SPIDERS),NYMPHALIDAE,Papilio hospiton,II
,AND SPIDERS),NYMPHALIDAE,Parnassius apollo,II
,AND SPIDERS),NYMPHALIDAE,Teinopalpus spp.,II
,AND SPIDERS),NYMPHALIDAE,Trogonoptera spp.,II
,AND SPIDERS),NYMPHALIDAE,Troides spp.,II
,AND SPIDERS),NYMPHALIDAE,Papilio phorbanta (European Union),III
,CLASS HIRUDINOIDEA (LEECHES),HIRUDINIDAE,Hirudo medicinalis,II
,CLASS HIRUDINOIDEA (LEECHES),HIRUDINIDAE,Hirudo verbana,II
,MUSSELS),MYTILIDAE,Lithophaga lithophaga,II
,MUSSELS),MYTILIDAE,Pleurobema plenum,I
,MUSSELS),MYTILIDAE,Potamilus capax,I
,MUSSELS),MYTILIDAE,Quadrula intermedia,I
,MUSSELS),MYTILIDAE,Quadrula sparsa,I
,MUSSELS),MYTILIDAE,Toxolasma cylindrella,I
,MUSSELS),MYTILIDAE,Unio nickliniana,I
,MUSSELS),MYTILIDAE,Unio tampicoensis tecomatensis,I
,MUSSELS),MYTILIDAE,Villosa trabalis,I
,MUSSELS),MYTILIDAE,Pleurobema clava,II
,MUSSELS),TRIDACNIDAE,TRIDACNIDAE spp.,II
,"OCTOPUSES, CUTTLEFISH)",NAUTILIDAE,NAUTILIDAE spp.,II
,AND CONCHES),STROMBIDAE,Strombus gigas,II
,AND CONCHES),STROMBIDAE,Achatinella spp.,I
,AND CONCHES),CAMAENIDAE,Papustyla pulcherrima,II
,AND CONCHES),CEPOLIDAE,Polymita spp.,I
,SEA ANEMONES),ANTIPATHARIA,ANTIPATHARIA spp.,II
,SEA ANEMONES),CORALLIIDAE,Corallium elatius (China),III
,SEA ANEMONES),CORALLIIDAE,Corallium japonicum (China),III
,SEA ANEMONES),CORALLIIDAE,Corallium konjoi (China),III
,SEA ANEMONES),CORALLIIDAE,Corallium secundum (China),III
,SEA ANEMONES),HELIOPORIDAE,HELIOPORIDAE spp. A25 {Includes only the species Heliopora coerulea},II
,SEA ANEMONES),SCLERACTINIA,SCLERACTINIA spp. A25,II
,SEA ANEMONES),TUBIPORIDAE,TUBIPORIDAE spp.A25,II
,MEDUSAE),MILLEPORIDAE,MILLEPORIDAE spp. A25,II
,MEDUSAE),STYLASTERIDAE,STYLASTERIDAE spp. A25,II
,MEDUSAE),AGAVACEAE,Agave parviflora,I
,MEDUSAE),AGAVACEAE,Agave victoriae-reginae #4,II
,MEDUSAE),AGAVACEAE,Nolina interrata,II
,MEDUSAE),AGAVACEAE,Yucca queretaroensis,II
,MEDUSAE),AIZOACEAE,Conophytum spp. (South Africa),III
,MEDUSAE),AIZOACEAE,Mestoklema tuberosum (South Africa),III
,MEDUSAE),AIZOACEAE,Galanthus spp. #4,II
,MEDUSAE),AIZOACEAE,Sternbergia spp. #4,II
,MEDUSAE),ANACARDIACEAE,Operculicarya decaryi,II
,MEDUSAE),ANACARDIACEAE,Operculicarya hyphaenoides,II
,MEDUSAE),ANACARDIACEAE,Operculicarya pachypus,II
,MEDUSAE),ANACARDIACEAE,Pachypodium ambongense,I
,MEDUSAE),ANACARDIACEAE,Pachypodium baronii,I
,MEDUSAE),ANACARDIACEAE,Pachypodium decaryi,I
,MEDUSAE),ANACARDIACEAE,Pachypodium windsorii,I
,MEDUSAE),ANACARDIACEAE,Pachypodium spp. #4 (Except the species included in Appendix I),II
,MEDUSAE),ANACARDIACEAE,Rauvolfia serpentina #2,II
,MEDUSAE),ANACARDIACEAE,Raphionacme zeyheri (South Africa),III
,MEDUSAE),ARALIACEAE,Panax ginseng #3 (Only the population of the Russian Federation; no other population is included in the,II
,MEDUSAE),ARALIACEAE,Appendices),II
,MEDUSAE),ARALIACEAE,Panax quinquefolius #3,II
,MEDUSAE),ARAUCARIACEAE,Araucaria araucana,I
,MEDUSAE),ASPARAGACEAE,Beaucarnea spp.,II
,MEDUSAE),BERBERIDACEAE,Podophyllum hexandrum #2,II
,MEDUSAE),BIGNONIACEAE,Roseodendron spp.#17,II
,MEDUSAE),BIGNONIACEAE,Tabebuia spp.#17,II
,MEDUSAE),BROMELIACEAE,Tillandsia harrisii #4,II
,MEDUSAE),BROMELIACEAE,Tillandsia kammii #4,II
,MEDUSAE),BROMELIACEAE,Tillandsia xerographica #4,II
,MEDUSAE),CACTACEAE,Sclerocactus sileri,I
,MEDUSAE),CACTACEAE,Sclerocactus wetlandicus,I
,MEDUSAE),CACTACEAE,Sclerocactus wrightiae,I
,MEDUSAE),CACTACEAE,Strombocactus spp.,I
,MEDUSAE),CACTACEAE,Turbinicarpus spp.,I
,MEDUSAE),CACTACEAE,Uebelmannia spp.,I
,MEDUSAE),CARYOCARACEAE,Caryocar costaricense #4,II
,MEDUSAE),COMPOSITAE,Saussurea costus,I
,MEDUSAE),COMPOSITAE,Crassothonna clavifolia (South,III
,MEDUSAE),COMPOSITAE,Africa),III
,MEDUSAE),COMPOSITAE,Othonna armiana (South Africa),III
,MEDUSAE),COMPOSITAE,Othonna cacalioides (South Africa),III
,MEDUSAE),COMPOSITAE,Othonna euphorbioides (South,III
,MEDUSAE),COMPOSITAE,Othonna retrorsa (South Africa),III
,MEDUSAE),CRASSULACEAE,Zygosicyos pubescens,II
,MEDUSAE),CRASSULACEAE,Zygosicyos tripartitus,II
,MEDUSAE),CUPRESSACEAE,Fitzroya cupressoides,I
,MEDUSAE),CUPRESSACEAE,Pilgerodendron uviferum,I
,MEDUSAE),CUPRESSACEAE,Widdringtonia whytei,II
,MEDUSAE),CYATHEACEAE,Cyathea spp. #4,II
,MEDUSAE),CYCADACEAE,Cycas beddomei,I
,MEDUSAE),CYCADACEAE,CYCADACEAE spp. #4 (Except the species included in Appendix I),II
,MEDUSAE),DICKSONIACEAE,Cibotium barometz #4,II
,MEDUSAE),DICKSONIACEAE,Dicksonia spp. #4 (Only the populations of the Americas; no other population is included in the Appendices),II
,MEDUSAE),DIDIEREACEAE,DIDIEREACEAE spp. #4,II
,MEDUSAE),DIOSCOREACEAE,Dioscorea deltoidea #4,II
,MEDUSAE),DROSERACEAE,Dionaea muscipula #4,II
,MEDUSAE),EBENACEAE,Diospyros spp. #5 (Only the populations of Madagascar; no other population is included in the Appendices),II
,MEDUSAE),EUPHORBIACEAE,Euphorbia quartziticola,I
,MEDUSAE),EUPHORBIACEAE,Euphorbia tulearensis,I
,MEDUSAE),FAGACEAE,Quercus mongolica #5 (Russian,III
,MEDUSAE),FAGACEAE,Federation),III
,MEDUSAE),FOUQUIERIACEAE,Fouquieria fasciculata,I
,MEDUSAE),FOUQUIERIACEAE,Fouquieria purpusii,I
,MEDUSAE),FOUQUIERIACEAE,Fouquieria columnaris #4,II
,MEDUSAE),GERANIACEAE,Monsonia herrei (South Africa),III
,MEDUSAE),GERANIACEAE,Monsonia multifida (South Africa),III
,MEDUSAE),GERANIACEAE,Monsonia patersonii (South Africa),III
,MEDUSAE),GERANIACEAE,Pelargonium crassicaule (South,III
,MEDUSAE),GERANIACEAE,Africa),III
,MEDUSAE),GERANIACEAE,Pelargonium triste (South Africa),III
,MEDUSAE),GNETACEAE,Gnetum montanum #1 (Nepal),III
,MEDUSAE),JUGLANDACEAE,Oreomunnea pterocarpa #4,II
,MEDUSAE),LAURACEAE,Aniba rosaeodora #12,II
,MEDUSAE),LAURACEAE,Pterocarpus spp.#17 (Except,II
,MEDUSAE),LAURACEAE,Pterocarpus santalinus which is included in Appendix II with annotation #7; only the African populations; no other population is included in the,II
,MEDUSAE),LAURACEAE,Appendices),II
,MEDUSAE),LAURACEAE,Pterocarpus santalinus #7,II
,MEDUSAE),LAURACEAE,Senna meridionalis,II
,MEDUSAE),LILIACEAE,Aloe haworthioides {Includes the var. aurantiaca},I
,MEDUSAE),LILIACEAE,Aloe helenae,I
,MEDUSAE),LILIACEAE,Aloe laeta {Includes the var. maniaensis},I
,MEDUSAE),LILIACEAE,Aloe parallelifolia,I
,MEDUSAE),LILIACEAE,Aloe parvula,I
,MEDUSAE),LILIACEAE,Aloe pillansii,I
,MEDUSAE),LILIACEAE,Aloe polyphylla,I
,MEDUSAE),LILIACEAE,Aloe rauhii,I
,MEDUSAE),LILIACEAE,Aloe suzannae,I
,MEDUSAE),LILIACEAE,Aloe versicolor,I
,MEDUSAE),LILIACEAE,Aloe vossii,I
,MEDUSAE),MAGNOLIACEAE,Magnolia liliifera var. obovata #1,III
,MEDUSAE),MAGNOLIACEAE,(Nepal),III
,MEDUSAE),MALVACEAE,Adansonia grandidieri #16,II
,MEDUSAE),MALVACEAE,Swietenia humilis #4,II
,MEDUSAE),MALVACEAE,Swietenia macrophylla #6 (Only the populations of the Neotropics; no other population is included in the,II
,MEDUSAE),MALVACEAE,Appendices),II
,MEDUSAE),MALVACEAE,Swietenia mahagoni #5,II
,MEDUSAE),MALVACEAE,Nepenthes khasiana,I
,MEDUSAE),MALVACEAE,Nepenthes rajah,I
,MEDUSAE),MALVACEAE,Nepenthes spp. #4 (Except the species included in Appendix I),II
,MEDUSAE),ORCHIDACEAE,Aerangis ellisii P4,I
,MEDUSAE),ORCHIDACEAE,Cattleya jongheana P4,I
,MEDUSAE),ORCHIDACEAE,Cattleya lobata P4,I
,MEDUSAE),ORCHIDACEAE,Dendrobium cruentum P4,I
,MEDUSAE),ORCHIDACEAE,Mexipedium xerophyticum P4,I
,MEDUSAE),ORCHIDACEAE,Paphiopedilum spp. P4,I
,MEDUSAE),ORCHIDACEAE,Peristeria elata P4,I
,MEDUSAE),ORCHIDACEAE,Phragmipedium spp. P4,I
,MEDUSAE),ORCHIDACEAE,Renanthera imschootiana P4,I
,MEDUSAE),ORCHIDACEAE,ORCHIDACEAE spp. P3 #4 (Except the species included in Appendix I),II
,MEDUSAE),OROBANCHACEAE,Cistanche deserticola #4,II
,MEDUSAE),PALMAE,Dypsis decipiens,I
,MEDUSAE),PALMAE,Lemurophoenix halleuxii,II
,MEDUSAE),PALMAE,Marojejya darianii,II
,MEDUSAE),PALMAE,Ravenea louvelii,II
,MEDUSAE),PALMAE,Ravenea rivularis,II
,MEDUSAE),PALMAE,Satranala decussilvae,II
,MEDUSAE),PALMAE,Voanioala gerardii,II
,MEDUSAE),PALMAE,Lodoicea maldivica #13 (Seychelles),III
,MEDUSAE),PAPAVERACEAE,Meconopsis regia #1 (Nepal),III
,MEDUSAE),PASSIFLORACEAE,Adenia firingalavensis,II
,MEDUSAE),PASSIFLORACEAE,Adenia olaboensis,II
,MEDUSAE),PASSIFLORACEAE,Adenia subsessilifolia,II
,MEDUSAE),PASSIFLORACEAE,Adenia spinosa (South Africa),III
,MEDUSAE),PEDALIACEAE,Uncarina grandidieri,II
,MEDUSAE),PEDALIACEAE,Uncarina stellulifera,II
,MEDUSAE),PINACEAE,Abies guatemalensis,I
,MEDUSAE),PINACEAE,Pinus koraiensis #5 (Russian,III
,MEDUSAE),PINACEAE,Federation),III
,MEDUSAE),PODOCARPACEAE,Podocarpus parlatorei,I
,MEDUSAE),PODOCARPACEAE,Podocarpus neriifolius #1 (Nepal),III
,MEDUSAE),PODOCARPACEAE,Anacampseros spp. #4,II
,MEDUSAE),PODOCARPACEAE,Avonia spp. #4,II
,MEDUSAE),PODOCARPACEAE,Lewisia serrata #4,II
,MEDUSAE),PODOCARPACEAE,Portulacaria pygmaea (South Africa),III
,MEDUSAE),PRIMULACEAE,Cyclamen spp. P5 #4,II
,MEDUSAE),PRIMULACEAE,Adonis vernalis #2,II
,MEDUSAE),PRIMULACEAE,Hydrastis canadensis #8,II
,MEDUSAE),ROSACEAE,Prunus africana #4,II
,MEDUSAE),RUBIACEAE,Balmea stormiae,I
,MEDUSAE),SANTALACEAE,"Osyris lanceolata #2 (Only the populations of Burundi, Ethiopia, Kenya,",II
,MEDUSAE),SANTALACEAE,"Rwanda, Uganda and the United",II
,MEDUSAE),SANTALACEAE,Republic of Tanzania; no other population is included in the,II
,MEDUSAE),SANTALACEAE,Appendices),II
,MEDUSAE),SANTALACEAE,Sarracenia oreophila,I
,MEDUSAE),SANTALACEAE,Sarracenia rubra ssp. alabamensis,I
,MEDUSAE),SANTALACEAE,Sarracenia rubra ssp. jonesii,I
,MEDUSAE),SANTALACEAE,Sarracenia spp. #4 (Except the species included in Appendix I),II
,MEDUSAE),SCROPHULARIACEAE,Picrorhiza kurrooa #2 {Excludes,II
,MEDUSAE),SCROPHULARIACEAE,Picrorhiza scrophulariiflora},II
,MEDUSAE),STANGERIACEAE,Stangeria eriopus,I
,MEDUSAE),STANGERIACEAE,Bowenia spp. #4,II
,MEDUSAE),TAXACEAE,Taxus chinensis #2 {Includes infraspecific taxa of this species},II
,MEDUSAE),TAXACEAE,Taxus cuspidata P6 #2 {Includes,II
,MEDUSAE),TAXACEAE,Taxus fuana #2 {Includes infraspecific taxa of this species},II
,MEDUSAE),TAXACEAE,Taxus sumatrana #2 {Includes,II
,MEDUSAE),TAXACEAE,Taxus wallichiana #2,II
,THYMELAEACEAE (AQUILARIACEAE),TAXACEAE,Aquilaria spp. #14,II
,THYMELAEACEAE (AQUILARIACEAE),TAXACEAE,Gonystylus spp. #4,II
,THYMELAEACEAE (AQUILARIACEAE),TAXACEAE,Gyrinops spp. #14,II
,TROCHODENDRACEAE,TAXACEAE,Tetracentron sinense #1 (Nepal),III
,TROCHODENDRACEAE,VALERIANACEAE,Nardostachys grandiflora #2,II
,TROCHODENDRACEAE,VITACEAE,Cyphostemma elephantopus,II
,TROCHODENDRACEAE,VITACEAE,Cyphostemma laza,II
,TROCHODENDRACEAE,VITACEAE,Cyphostemma montagnacii,II
,TROCHODENDRACEAE,WELWITSCHIACEAE,Welwitschia mirabilis #4,II
,TROCHODENDRACEAE,ZAMIACEAE,Ceratozamia spp.,I
,TROCHODENDRACEAE,ZAMIACEAE,Encephalartos spp.,I
,TROCHODENDRACEAE,ZAMIACEAE,Microcycas calocoma,I
,TROCHODENDRACEAE,ZAMIACEAE,Zamia restrepoi,I
,TROCHODENDRACEAE,ZAMIACEAE,ZAMIACEAE spp. #4 (Except the species included in Appendix I),II
,TROCHODENDRACEAE,ZAMIACEAE,Hedychium philippinense #4,II
,TROCHODENDRACEAE,ZAMIACEAE,"Siphonochilus aethiopicus (Only the populations of Eswatini, Mozambique,",II
,TROCHODENDRACEAE,ZAMIACEAE,South Africa and Zimbabwe; no other population is included in the,II
,TROCHODENDRACEAE,ZAMIACEAE,Appendices),II
,TROCHODENDRACEAE,ZYGOPHYLLACEAE,Bulnesia sarmientoi #11,II
,TROCHODENDRACEAE,ZYGOPHYLLACEAE,Guaiacum spp. #2,II
